Complaint ID,Date Received,Product,Sub-product,Issue,Company,State,Consumer Complaint Narrative,Company Response to Consumer,Timely Response?,Consumer Disputed?
5004579,24-07-2024,Debt collection,Medical debt,Attempts to collect debt not owed,Summit Financial Corp,NY,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,No,No
5004640,24-07-2024,Mortgage,FHA mortgage,Loan servicing,Apex Horizon Bank,WA,"I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. During this process, refused to release my funds. I expect the company to correct the error.",Closed with explanation,Yes,No
5005209,24-07-2024,Credit card,Store credit card,Incorrect balance,Sterling Financial Group,CT,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5006720,24-07-2024,Checking or savings account,Checking account,Managing an account,Sterling Financial Group,SC,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5006797,24-07-2024,Credit card,Store credit card,Fees or interest,Liberty Trust Bank,ID,,Closed with explanation,Yes,No
5007268,24-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Apex Horizon Bank,MS,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5007308,24-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Pioneer Community Bank,SD,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5007624,24-07-2024,Checking or savings account,Savings account,Deposits and withdrawals,BlueStone Capital,MT,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,No,Yes
5008202,24-07-2024,Checking or savings account,Checking account,Managing an account,Liberty Trust Bank,VA,"I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",Closed with non-monetary relief,Yes,
5009090,24-07-2024,Debt collection,Credit card debt,False statements,NorthRiver Banking,MA,I am filing this complaint because of false statements. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,
5009091,24-07-2024,Checking or savings account,Checking account,Deposits and withdrawals,Pioneer Community Bank,CA,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5009542,24-07-2024,Checking or savings account,Checking account,Managing an account,Crescent Federal,IA,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,Yes
5009982,24-07-2024,Credit card,General-purpose credit card,Fees or interest,Summit Financial Corp,ID,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5000142,25-07-2024,Credit card,General-purpose credit card,Fees or interest,Apex Horizon Bank,MO,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5000960,25-07-2024,Checking or savings account,Checking account,Bank fees,Vanguard Mutual,CA,,In progress,Yes,No
5001257,25-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Liberty Trust Bank,MO,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5001749,25-07-2024,Mortgage,Conventional home mortgage,Escrow account,Sterling Financial Group,CA,"I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",Closed with monetary relief,Yes,Yes
5001834,25-07-2024,Checking or savings account,Checking account,Deposits and withdrawals,NorthRiver Banking,TX,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002508,25-07-2024,Mortgage,Conventional home mortgage,Escrow account,Sterling Financial Group,TX,I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5004711,25-07-2024,Checking or savings account,Checking account,Funds availability,Evergreen National,MI,I am filing this complaint because of funds availability. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5005188,25-07-2024,Checking or savings account,Checking account,Managing an account,Pioneer Community Bank,VA,"I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. During this process, refused to release my funds. I expect the company to correct the error.",Closed with explanation,Yes,No
5005244,25-07-2024,Mortgage,FHA mortgage,Struggling to pay mortgage,Vanguard Mutual,OK,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5006998,25-07-2024,Mortgage,FHA mortgage,Escrow account,Vanguard Mutual,IN,I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5007491,25-07-2024,Credit card,General-purpose credit card,Fees or interest,Summit Financial Corp,LA,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5007519,25-07-2024,Checking or savings account,Checking account,Bank fees,Apex Horizon Bank,CA,I am filing this complaint because of bank fees. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5007689,25-07-2024,Checking or savings account,Checking account,Managing an account,Liberty Trust Bank,TX,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5008097,25-07-2024,Checking or savings account,Checking account,Bank fees,Apex Horizon Bank,CT,I am filing this complaint because of bank fees. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,Yes
5009161,25-07-2024,Checking or savings account,Checking account,Funds availability,Vanguard Mutual,NY,"I am filing this complaint because of funds availability. Customer service kept transferring me without resolving the issue. During this process, refused to release my funds. I expect the company to correct the error.",Closed with explanation,Yes,Yes
5009295,25-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Vanguard Mutual,TX,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5009354,25-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Sterling Financial Group,CA,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5000116,26-07-2024,Credit card,General-purpose credit card,Billing disputes,Vanguard Mutual,TN,,Closed with non-monetary relief,Yes,Yes
5000166,26-07-2024,Credit card,Store credit card,Fees or interest,Crescent Federal,IL,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5001334,26-07-2024,Mortgage,FHA mortgage,Struggling to pay mortgage,Vanguard Mutual,WI,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5001571,26-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Crescent Federal,CO,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5001866,26-07-2024,Credit card,General-purpose credit card,Incorrect balance,Sterling Financial Group,AR,"I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. During this process, the fine print completely lied. I expect the company to correct the error.",Closed with explanation,No,No
5002945,26-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Liberty Trust Bank,CA,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,Yes
5003132,26-07-2024,Debt collection,Medical debt,Communication tactics,Apex Horizon Bank,VA,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5004582,26-07-2024,Credit card,General-purpose credit card,Fees or interest,Evergreen National,SD,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,No,No
5004890,26-07-2024,Credit card,General-purpose credit card,Billing disputes,Apex Horizon Bank,ID,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5004971,26-07-2024,Credit card,General-purpose credit card,Fees or interest,BlueStone Capital,TX,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5005396,26-07-2024,Credit card,Store credit card,Incorrect balance,Vanguard Mutual,CA,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5005959,26-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Crescent Federal,TX,"I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. During this process, the fine print completely lied. I expect the company to correct the error.",Closed with explanation,Yes,No
5006648,26-07-2024,Mortgage,Conventional home mortgage,Loan servicing,BlueStone Capital,ND,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5006779,26-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Liberty Trust Bank,AR,"I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",Closed with non-monetary relief,Yes,No
5008481,26-07-2024,Credit card,Store credit card,Problem with a purchase,NorthRiver Banking,FL,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5008806,26-07-2024,Credit card,Store credit card,Problem with a purchase,Pioneer Community Bank,ME,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5009079,26-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Vanguard Mutual,DE,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5009267,26-07-2024,Checking or savings account,Checking account,Managing an account,Apex Horizon Bank,GA,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5009477,26-07-2024,Checking or savings account,Checking account,Managing an account,Evergreen National,TX,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,
5009745,26-07-2024,Checking or savings account,Checking account,Funds availability,Evergreen National,ND,I am filing this complaint because of funds availability. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5001214,27-07-2024,Checking or savings account,Checking account,Deposits and withdrawals,BlueStone Capital,ND,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5002062,27-07-2024,Mortgage,Conventional home mortgage,Escrow account,Liberty Trust Bank,TX,I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002846,27-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Pioneer Community Bank,SD,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5003048,27-07-2024,Credit card,General-purpose credit card,Problem with a purchase,NorthRiver Banking,LA,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5003158,27-07-2024,Credit card,General-purpose credit card,Fees or interest,NorthRiver Banking,TX,"I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. During this process, unauthorized fee took all my money. I expect the company to correct the error.",Closed with explanation,Yes,No
5003194,27-07-2024,Debt collection,Medical debt,Attempts to collect debt not owed,Apex Horizon Bank,IA,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5003681,27-07-2024,Credit card,General-purpose credit card,Incorrect balance,Sterling Financial Group,CA,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5005466,27-07-2024,Checking or savings account,Checking account,Funds availability,Vanguard Mutual,SC,I am filing this complaint because of funds availability. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5005528,27-07-2024,Credit card,General-purpose credit card,Fees or interest,Summit Financial Corp,MA,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5007702,27-07-2024,Credit card,General-purpose credit card,Incorrect balance,Crescent Federal,NY,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5008934,27-07-2024,Checking or savings account,Savings account,Deposits and withdrawals,Apex Horizon Bank,NY,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5000155,28-07-2024,Credit card,General-purpose credit card,Fees or interest,BlueStone Capital,FL,"I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",Closed with explanation,Yes,Yes
5002984,28-07-2024,Debt collection,Medical debt,Communication tactics,Apex Horizon Bank,NH,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5002997,28-07-2024,Debt collection,Medical debt,Attempts to collect debt not owed,Apex Horizon Bank,ID,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5003882,28-07-2024,Credit card,General-purpose credit card,Billing disputes,Vanguard Mutual,WA,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5004266,28-07-2024,Credit card,General-purpose credit card,Billing disputes,Pioneer Community Bank,NY,"I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. During this process, hidden fee was never disclosed. I expect the company to correct the error.",Closed with explanation,Yes,Yes
5004280,28-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,NorthRiver Banking,CA,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5005918,28-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Vanguard Mutual,GA,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5006761,28-07-2024,Checking or savings account,Savings account,Deposits and withdrawals,Crescent Federal,CA,"I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",In progress,Yes,Yes
5006904,28-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Summit Financial Corp,FL,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5007202,28-07-2024,Credit card,Store credit card,Billing disputes,Pioneer Community Bank,NE,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5000007,29-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,BlueStone Capital,TX,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5001127,29-07-2024,Debt collection,Credit card debt,Communication tactics,BlueStone Capital,ME,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5003684,29-07-2024,Mortgage,FHA mortgage,Struggling to pay mortgage,Pioneer Community Bank,NC,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5003686,29-07-2024,Checking or savings account,Savings account,Managing an account,Summit Financial Corp,VT,"I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. During this process, taking advantage of my situation. I expect the company to correct the error.",Closed with non-monetary relief,Yes,
5004327,29-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Apex Horizon Bank,WI,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5004877,29-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Pioneer Community Bank,OH,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5007469,29-07-2024,Debt collection,Medical debt,Communication tactics,Liberty Trust Bank,IN,"I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. During this process, taking advantage of my situation. I expect the company to correct the error.",In progress,Yes,No
5007982,29-07-2024,Credit card,General-purpose credit card,Incorrect balance,Apex Horizon Bank,ND,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5008133,29-07-2024,Debt collection,Credit card debt,Communication tactics,Evergreen National,KS,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5008340,29-07-2024,Checking or savings account,Checking account,Bank fees,Liberty Trust Bank,TX,I am filing this complaint because of bank fees. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5009301,29-07-2024,Checking or savings account,Checking account,Bank fees,Liberty Trust Bank,MO,"I am filing this complaint because of bank fees. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",Closed with explanation,No,Yes
5009568,29-07-2024,Checking or savings account,Savings account,Deposits and withdrawals,Liberty Trust Bank,MO,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5009996,29-07-2024,Credit card,Store credit card,Incorrect balance,Pioneer Community Bank,TX,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002069,30-07-2024,Credit card,Store credit card,Incorrect balance,Crescent Federal,IL,,Closed with monetary relief,Yes,Yes
5002329,30-07-2024,Credit card,General-purpose credit card,Billing disputes,Summit Financial Corp,AR,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002335,30-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Liberty Trust Bank,KY,"I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",Closed with explanation,Yes,
5002737,30-07-2024,Credit card,General-purpose credit card,Billing disputes,Evergreen National,NH,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,Yes
5003033,30-07-2024,Debt collection,Credit card debt,False statements,Pioneer Community Bank,CA,I am filing this complaint because of false statements. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5005892,30-07-2024,Checking or savings account,Checking account,Managing an account,Vanguard Mutual,MO,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5006867,30-07-2024,Checking or savings account,Checking account,Managing an account,Apex Horizon Bank,CO,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5007762,30-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Apex Horizon Bank,LA,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5008105,30-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Crescent Federal,NY,"I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",In progress,Yes,No
5009173,30-07-2024,Credit card,Store credit card,Billing disputes,NorthRiver Banking,CA,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5000457,31-07-2024,Credit card,General-purpose credit card,Billing disputes,Pioneer Community Bank,MN,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5001128,31-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Sterling Financial Group,KS,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5002579,31-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Evergreen National,NY,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5003100,31-07-2024,Credit card,General-purpose credit card,Incorrect balance,Pioneer Community Bank,CA,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,Yes
5003599,31-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Pioneer Community Bank,NY,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5004153,31-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Pioneer Community Bank,IA,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5004248,31-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Liberty Trust Bank,NY,"I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. During this process, hidden fee was never disclosed. I expect the company to correct the error.",Closed with explanation,Yes,No
5005293,31-07-2024,Checking or savings account,Checking account,Funds availability,Vanguard Mutual,AK,I am filing this complaint because of funds availability. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5005485,31-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Summit Financial Corp,WY,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,
5005643,31-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Evergreen National,IA,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,Yes
5006620,31-07-2024,Checking or savings account,Checking account,Funds availability,BlueStone Capital,CA,,In progress,Yes,Yes
5000858,01-08-2024,Credit card,General-purpose credit card,Billing disputes,Apex Horizon Bank,NJ,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5001817,01-08-2024,Checking or savings account,Checking account,Managing an account,Vanguard Mutual,SC,,Closed with explanation,Yes,
5001971,01-08-2024,Credit card,Store credit card,Problem with a purchase,NorthRiver Banking,TX,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5001975,01-08-2024,Mortgage,Conventional home mortgage,Loan servicing,Apex Horizon Bank,VA,"I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",Closed with non-monetary relief,Yes,No
5001984,01-08-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Crescent Federal,CA,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5002221,01-08-2024,Credit card,General-purpose credit card,Fees or interest,Evergreen National,NV,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002227,01-08-2024,Checking or savings account,Checking account,Managing an account,Crescent Federal,NY,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5003602,01-08-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Vanguard Mutual,CT,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5003911,01-08-2024,Credit card,General-purpose credit card,Fees or interest,Summit Financial Corp,FL,"I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. During this process, unauthorized fee took all my money. I expect the company to correct the error.",Closed with non-monetary relief,Yes,No
5005380,01-08-2024,Credit card,General-purpose credit card,Fees or interest,BlueStone Capital,FL,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5006128,01-08-2024,Checking or savings account,Checking account,Deposits and withdrawals,Evergreen National,CA,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5006642,01-08-2024,Credit card,General-purpose credit card,Incorrect balance,Apex Horizon Bank,MO,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5006976,01-08-2024,Checking or savings account,Checking account,Managing an account,Crescent Federal,PA,"I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. During this process, the fine print completely lied. I expect the company to correct the error.",Closed with monetary relief,Yes,No
5008558,01-08-2024,Credit card,General-purpose credit card,Fees or interest,Pioneer Community Bank,SC,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5009956,01-08-2024,Checking or savings account,Checking account,Funds availability,Vanguard Mutual,PA,I am filing this complaint because of funds availability. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5000282,02-08-2024,Checking or savings account,Savings account,Funds availability,Pioneer Community Bank,KY,I am filing this complaint because of funds availability. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,
5001282,02-08-2024,Checking or savings account,Checking account,Managing an account,Summit Financial Corp,NJ,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002411,02-08-2024,Credit card,General-purpose credit card,Billing disputes,Pioneer Community Bank,CA,"I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. During this process, misled by the representative. I expect the company to correct the error.",Closed with explanation,Yes,Yes
5002754,02-08-2024,Debt collection,Medical debt,Attempts to collect debt not owed,BlueStone Capital,VT,"I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. During this process, misled by the representative. I expect the company to correct the error.",In progress,Yes,No
5003038,02-08-2024,Credit card,General-purpose credit card,Problem with a purchase,Apex Horizon Bank,CA,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5003336,02-08-2024,Checking or savings account,Savings account,Deposits and withdrawals,Sterling Financial Group,UT,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5003769,02-08-2024,Checking or savings account,Checking account,Deposits and withdrawals,Crescent Federal,CA,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5005300,02-08-2024,Checking or savings account,Checking account,Managing an account,Liberty Trust Bank,SD,"I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",Closed with non-monetary relief,Yes,No
